event_id,event_date,title,location_description,region,landslide_category,trigger,size,fatality_count,latitude,longitude,source_name
6924,2015-03-28,Chontinar village of central Kashmir Budgam district,Chontinar village of central Kashmir Budgam district,Kashmir,landslide,downpour,medium,0,33.95483,74.79428,Economic Times
259,2007-11-09,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",Meghālaya,landslide,rain,medium,0,25.52,91.27,India times
326,2007-10-26,"Nilgiri, Nondimedu on the Ooty-Coonoor road","Nilgiri, Nondimedu on the Ooty-Coonoor road",Tamil Nadu,landslide,rain,large,0,11.4046,76.6953,India Times
6112,2014-06-28,"Kharghuli Hills, Assam","Kharghuli Hills, Assam",Assam,landslide,rain,medium,0,26.1964,91.7652,Assam Times
7174,2015-03-04,"Uri, Baramulla district","Uri, Baramulla district",Kashmir,landslide,continuous_rain,small,4,34.0886,74.0301,Rajasthan Patrika
4974,2013-06-24,"Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)","Between Rudaprayag And Guptkashi, Uttarakhand (2 Landslides)",Uttarakhand,landslide,rain,medium,0,30.4091,79.0579,www.hindustantimes.com
5051,2013-07-07,"Mandi-Kullu Highway In Mandi, Himachal Pradesh","Mandi-Kullu Highway In Mandi, Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.7017,76.973,articles.timesofindia.indiatimes.com
2050,2010-07-07,"NH-22 beyond Recong-Peo(Reckong Peo),  Himachal Pradesh","NH-22 beyond Recong-Peo(Reckong Peo),  Himachal Pradesh",Himachal Pradesh,landslide,downpour,medium,0,31.645,78.4354,himvani
7039,2015-01-07,8 mile in Kalimpong,8 mile in Kalimpong,West Bengal,landslide,downpour,medium,0,27.0678,88.456,India Today In
231,2007-05-09,Darjeeling Hills (Lebong - 10 km from Darjeeling,Darjeeling Hills (Lebong - 10 km from Darjeeling,Bengal,landslide,rain,medium,15,27.06826,88.28121,The hindu.com
1901,2010-05-25,"Chadiyan(?) village near Uri, Baramulla district, Jammu and Kashmir","Chadiyan(?) village near Uri, Baramulla district, Jammu and Kashmir",Kashmir,landslide,downpour,medium,0,34.09,74.0256,sify.com
7594,2015-05-08,"Shantinagar, Ponda","Shantinagar, Ponda",Goa,landslide,mining,medium,0,15.3956,74.0113,Goa Herald
2268,2010-08-18,"Saraswati Shishu Mandir school(?), Sumgarh(Sumgad) village(?), Bageshwar-Pindari glacier rd 45 km from Bageshwar, Kapkot, Bageshwar, Uttarakhand","Saraswati Shishu Mandir school(?), Sumgarh(Sumgad) village(?), Bageshwar-Pindari glacier rd 45 km from Bageshwar, Kapkot, Bageshwar, Uttarakhand",Uttarakhand,complex,downpour,large,18,30.0134,79.9261,dailypioneer
7390,2015-01-08,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station,Manipur,landslide,continuous_rain,medium,0,24.4265,94.1913,E-PAO
5292,2013-07-08,"Naliyani, Near Thodupuzha Town","Naliyani, Near Thodupuzha Town",Kerala,landslide,monsoon,medium,0,9.835,76.8661,www.business-standard.com
2457,2010-09-19,"Nathpa Jhulla, between Rampur and Peo, Kinnaur, Himachal Pradesh","Nathpa Jhulla, between Rampur and Peo, Kinnaur, Himachal Pradesh",Himachal Pradesh,rock_fall,downpour,medium,1,31.563,77.9796,tribuneindia
1204,2009-01-10,"Vadad-Hasol village near Rajapur in Ratnagiri district, Maharastra","Vadad-Hasol village near Rajapur in Ratnagiri district, Maharastra",Maharashtra,landslide,downpour,medium,8,16.656,73.5178,ptinews
6197,2014-08-16,Jammu and Kashmir between Adhkuwari and Bhawan at Devi Dwar,Jammu and Kashmir between Adhkuwari and Bhawan at Devi Dwar,Kashmir,landslide,downpour,medium,0,33.0272,74.9465,Hindustan Times
4912,2013-11-06,"Holy Cave Shrine, Mata Vaishno Devi, Trikuta Hills, Reasi District, Near Panchi Morh In Sanjichat Area En Route Mata Vaishno Devi","Holy Cave Shrine, Mata Vaishno Devi, Trikuta Hills, Reasi District, Near Panchi Morh In Sanjichat Area En Route Mata Vaishno Devi",Himachal Pradesh,landslide,downpour,medium,1,31.4898,76.7043,www.risingkashmir.in
7036,2015-01-07,"Mahendra village, Thana Line, Tingling Garden village in Mirik","Mahendra village, Thana Line, Tingling Garden village in Mirik",West Bengal,landslide,downpour,large,42,26.8352,88.1881,"The Hindu, Bharat Press"
1106,2009-08-20,"(Okai Tea Garden) Mirik, Darjeeling, West Bengal","(Okai Tea Garden) Mirik, Darjeeling, West Bengal",Bengal,landslide,continuous_rain,medium,2,26.8992,88.1667,beacononline.wordpress
2420,2010-09-13,"Tuikual 'C', Aizawl, Mizoram","Tuikual 'C', Aizawl, Mizoram",Mizoram,landslide,downpour,medium,1,23.72989,92.71496,Mizoram Express
264,2007-09-13,Guwahati,Guwahati,Assam,landslide,rain,medium,0,26.1833,91.8,Saharas Samay
2034,2010-04-07,"Toy Train rails between Siliguri and Darjeeling, West Bengal","Toy Train rails between Siliguri and Darjeeling, West Bengal",Bengal,landslide,rain,medium,0,26.8712,88.3052,news.oneindia
251,2007-09-09,Hingdam village in South Sikkim,Hingdam village in South Sikkim,Sikkim,landslide,rain,medium,1,27.1667,88.35,Sikkim times.com
4373,2012-05-30,Jawaharlal Nehru Marg,Jawaharlal Nehru Marg,Rajasthan,landslide,downpour,large,0,26.876,75.8101,Telegraph India
3670,2011-06-29,National highway leading to Kedarnath,National highway leading to Kedarnath,Uttarakhand,landslide,downpour,medium,0,30.67629,79.04192,IBN
